,household,scenario,absolute poverty,relative poverty,year,minwage
1,üksik mees,Tegelik 2018,6.42,33.62,2018,501
2,üksik mees,Ennustatud 2018,6.42,33.62,2018,501
3,üksik naine,Tegelik 2018,2.16,22.68,2018,501
4,üksik naine,Ennustatud 2018,2.16,22.68,2018,501
5,üksikvanem,Tegelik 2018,0.19,30.12,2018,501
6,üksikvanem,Ennustatud 2018,0.19,30.12,2018,501
7,Lasteta paar,Tegelik 2018,0.63,9.31,2018,501
8,Lasteta paar,Ennustatud 2018,0.63,9.61,2018,501
9,ühe lapsega paar,Tegelik 2018,0,7.35,2018,501
10,ühe lapsega paar,Ennustatud 2018,0,7.42,2018,501
11,Kahe lapsega paar,Tegelik 2018,0,9.74,2018,501
12,Kahe lapsega paar,Ennustatud 2018,0,9.74,2018,501
13,Kolme ja enama lapsega paar,Tegelik 2018,0,7.35,2018,501
14,Kolme ja enama lapsega paar,Ennustatud 2018,0,7.35,2018,501
15,üksik mees,Tegelik 2018,6.42,33.62,2018,502
16,üksik mees,Ennustatud 2018,6.42,33.62,2018,502
17,üksik naine,Tegelik 2018,2.16,22.68,2018,502
18,üksik naine,Ennustatud 2018,2.16,22.34,2018,502
19,üksikvanem,Tegelik 2018,0.19,30.12,2018,502
20,üksikvanem,Ennustatud 2018,0.19,30.12,2018,502
21,Lasteta paar,Tegelik 2018,0.63,9.31,2018,502
22,Lasteta paar,Ennustatud 2018,0.63,9.61,2018,502
23,ühe lapsega paar,Tegelik 2018,0,7.35,2018,502
24,ühe lapsega paar,Ennustatud 2018,0,7.42,2018,502
25,Kahe lapsega paar,Tegelik 2018,0,9.74,2018,502
26,Kahe lapsega paar,Ennustatud 2018,0,9.74,2018,502
27,Kolme ja enama lapsega paar,Tegelik 2018,0,7.35,2018,502
28,Kolme ja enama lapsega paar,Ennustatud 2018,0,7.35,2018,502
29,üksik mees,Tegelik 2018,6.42,33.62,2018,503
30,üksik mees,Ennustatud 2018,6.42,33.62,2018,503
31,üksik naine,Tegelik 2018,2.16,22.68,2018,503
32,üksik naine,Ennustatud 2018,2.16,22.06,2018,503
33,üksikvanem,Tegelik 2018,0.19,30.12,2018,503
34,üksikvanem,Ennustatud 2018,0.19,30.12,2018,503
35,Lasteta paar,Tegelik 2018,0.63,9.31,2018,503
36,Lasteta paar,Ennustatud 2018,0.63,9.61,2018,503
37,ühe lapsega paar,Tegelik 2018,0,7.35,2018,503
38,ühe lapsega paar,Ennustatud 2018,0,7.42,2018,503
39,Kahe lapsega paar,Tegelik 2018,0,9.74,2018,503
40,Kahe lapsega paar,Ennustatud 2018,0,9.74,2018,503
41,Kolme ja enama lapsega paar,Tegelik 2018,0,7.35,2018,503
42,Kolme ja enama lapsega paar,Ennustatud 2018,0,7.35,2018,503
43,üksik mees,Tegelik 2018,6.42,33.62,2018,504
44,üksik mees,Ennustatud 2018,6.42,33.62,2018,504
45,üksik naine,Tegelik 2018,2.16,22.68,2018,504
46,üksik naine,Ennustatud 2018,2.16,22.06,2018,504
47,üksikvanem,Tegelik 2018,0.19,30.12,2018,504
48,üksikvanem,Ennustatud 2018,0.19,30.12,2018,504
49,Lasteta paar,Tegelik 2018,0.63,9.31,2018,504
50,Lasteta paar,Ennustatud 2018,0.63,9.61,2018,504
51,ühe lapsega paar,Tegelik 2018,0,7.35,2018,504
52,ühe lapsega paar,Ennustatud 2018,0,7.42,2018,504
53,Kahe lapsega paar,Tegelik 2018,0,9.74,2018,504
54,Kahe lapsega paar,Ennustatud 2018,0,9.74,2018,504
55,Kolme ja enama lapsega paar,Tegelik 2018,0,7.35,2018,504
56,Kolme ja enama lapsega paar,Ennustatud 2018,0,7.35,2018,504
57,üksik mees,Tegelik 2018,6.42,33.62,2018,505
58,üksik mees,Ennustatud 2018,6.42,33.62,2018,505
59,üksik naine,Tegelik 2018,2.16,22.68,2018,505
60,üksik naine,Ennustatud 2018,2.16,22.06,2018,505
61,üksikvanem,Tegelik 2018,0.19,30.12,2018,505
62,üksikvanem,Ennustatud 2018,0.19,30.12,2018,505
63,Lasteta paar,Tegelik 2018,0.63,9.31,2018,505
64,Lasteta paar,Ennustatud 2018,0.63,9.61,2018,505
65,ühe lapsega paar,Tegelik 2018,0,7.35,2018,505
66,ühe lapsega paar,Ennustatud 2018,0,7.42,2018,505
67,Kahe lapsega paar,Tegelik 2018,0,9.74,2018,505
68,Kahe lapsega paar,Ennustatud 2018,0,9.74,2018,505
69,Kolme ja enama lapsega paar,Tegelik 2018,0,7.35,2018,505
70,Kolme ja enama lapsega paar,Ennustatud 2018,0,7.35,2018,505
71,üksik mees,Tegelik 2018,6.42,33.62,2018,506
72,üksik mees,Ennustatud 2018,6.42,33.62,2018,506
73,üksik naine,Tegelik 2018,2.16,22.68,2018,506
74,üksik naine,Ennustatud 2018,2.16,22.06,2018,506
75,üksikvanem,Tegelik 2018,0.19,30.12,2018,506
76,üksikvanem,Ennustatud 2018,0.19,30.12,2018,506
77,Lasteta paar,Tegelik 2018,0.63,9.31,2018,506
78,Lasteta paar,Ennustatud 2018,0.63,9.61,2018,506
79,ühe lapsega paar,Tegelik 2018,0,7.35,2018,506
80,ühe lapsega paar,Ennustatud 2018,0,7.42,2018,506
81,Kahe lapsega paar,Tegelik 2018,0,9.74,2018,506
82,Kahe lapsega paar,Ennustatud 2018,0,9.74,2018,506
83,Kolme ja enama lapsega paar,Tegelik 2018,0,7.35,2018,506
84,Kolme ja enama lapsega paar,Ennustatud 2018,0,7.35,2018,506
85,üksik mees,Tegelik 2018,6.42,33.62,2018,507
86,üksik mees,Ennustatud 2018,6.42,33.62,2018,507
87,üksik naine,Tegelik 2018,2.16,22.68,2018,507
88,üksik naine,Ennustatud 2018,2.16,22.06,2018,507
89,üksikvanem,Tegelik 2018,0.19,30.12,2018,507
90,üksikvanem,Ennustatud 2018,0.19,30.12,2018,507
91,Lasteta paar,Tegelik 2018,0.63,9.31,2018,507
92,Lasteta paar,Ennustatud 2018,0.63,9.61,2018,507
93,ühe lapsega paar,Tegelik 2018,0,7.35,2018,507
94,ühe lapsega paar,Ennustatud 2018,0,7.42,2018,507
95,Kahe lapsega paar,Tegelik 2018,0,9.74,2018,507
96,Kahe lapsega paar,Ennustatud 2018,0,9.74,2018,507
97,Kolme ja enama lapsega paar,Tegelik 2018,0,7.35,2018,507
98,Kolme ja enama lapsega paar,Ennustatud 2018,0,7.35,2018,507
99,üksik mees,Tegelik 2018,6.42,33.62,2018,508
